INCOME72,year,id,wrkstat,occ,prestige,industry,OCC10,occindv,PRESTG10,PRESTG105PLUS,marital,agewed,divorce,spwrksta,spocc,sppres,PAIND16,sibs,childs,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,RES16,REG16,MOBILE16,INCOM16,hompop,babies,preteen,teens,adults,earnrs,size,dotdata,dotpeop,dotthng,dotged,dotsvp,dotpres,padotdat,padotpeo,padotthn,padotged,padotsvp,padotpre,libsoc,colcom,gunlaw,trust
$15000 T,1972,1362,WORKING,2,71,888,Architec,Verbatim,73,92,married,21,no,KEEPING,305,48,717,3,4,39,12,12,10,12,HIGH SCH,,LT HIGH,HIGH SCH,male,white,CITY GT,MIDDLE A,SAME CIT,average,6,1,0,3,2,1,21,0.25,7.96,1.4,5.79,7.88,70.9,1.86,5.65,8,4.21,6.18,49.7,NOT REMO,NOT FIRE,favor,CAN TRUS
$12500 T,1972,1363,KEEPING,372,46,717,Secretar,Verbatim,47,55,married,24,no,WORKING,715,32,247,5,4,42,10,8,8,11,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,white,CITY GT,MIDDLE A,SAME CIT,BELOW AV,6,0,3,1,2,2,21,2.98,6.03,7.98,4,5.98,47.7,3.82,7.57,1.76,3.14,5.54,36.6,NOT REMO,fired,favor,CAN TRUS
$15000 T,1972,1364,TEMP NOT,751,17,67,Construc,Verbatim,28,23,married,18,no,WORKING,330,41,347,4,4,44,11,6,6,11,LT HIGH,LT HIGH,LT HIGH,LT HIGH,male,white,CITY GT,MIDDLE A,SAME CIT,ABOVE AV,5,0,0,1,4,4,16,6.89,7.98,5.3,2.25,3.32,20.5,1.97,5.59,7.18,4.37,6.61,48.3,NOT REMO,NOT FIRE,favor,CAN TRUS
$17500 T,1972,1365,school,,,,,No verba,,,NEVER MA,,,,,,917,5,0,22,14,16,14,,HIGH SCH,bachelor,HIGH SCH,,male,white,CITY GT,MIDDLE A,SAME CIT,ABOVE AV,5,0,0,2,3,3,21,,,,,,,2.37,5.86,7.99,3.16,4.51,37.3,NOT REMO,NOT FIRE,favor,CAN TRUS
$12500 T,1972,1366,KEEPING,391,41,717,Word pro,Verbatim,37,29,married,20,no,WORKING,271,51,319,1,2,34,12,8,8,16,HIGH SCH,LT HIGH,LT HIGH,graduate,female,white,CITY GT,foreign,DIFFEREN,BELOW AV,4,0,2,0,2,2,21,3.72,7.9,7.85,3.05,3.78,37.6,4.28,7.69,2.6,3.27,5.62,31.7,remove,fired,favor,Can't be
$12500 T,1972,1367,WORKING,630,18,779,Laundry,Verbatim,26,12,married,25,no,WORKING,334,36,207,1,3,57,12,9,10,10,HIGH SCH,LT HIGH,LT HIGH,LT HIGH,female,white,50000 TO,MIDDLE A,"SAME ST,",average,3,0,0,0,3,3,21,6.6,7.9,5.63,1.92,2.55,19.2,5.55,7.69,3.37,3.08,4.84,37.5,NOT REMO,fired,favor,Can't be
$6000 TO,1972,1368,KEEPING,310,31,628,Cashiers,Verbatim,28,16,married,52,no,TEMP NOT,213,41,67,2,0,58,12,,12,12,HIGH SCH,,,HIGH SCH,female,white,50000 TO,MIDDLE A,"SAME ST,",average,3,0,0,0,3,1,21,3.91,6.06,7.97,3.11,2.44,27.4,5.64,7.66,1.62,3.2,6.53,39.5,NOT REMO,fired,favor,CAN TRUS
$4000 TO,1972,1369,retired,145,43,838,Postseco,Verbatim,74,94,widowed,27,yes,,,,17,2,0,80,16,3,3,,graduate,LT HIGH,LT HIGH,,female,white,farm,W. NOR.,DIFFEREN,average,1,0,0,0,1,0,30,0.89,2.2,7.91,4.93,7.28,49.1,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,favor,Can't be
$2000 TO,1972,1370,retired,283,29,609,Retail s,Verbatim,31,18,widowed,26,no,,,,17,7,1,73,14,8,8,,HIGH SCH,LT HIGH,LT HIGH,,female,white,farm,E. SOU.,DIFFEREN,ABOVE AV,1,0,0,0,1,0,30,3.95,5.88,7.85,3.14,3.59,30.7,1.68,7.97,1.51,3.84,6.62,30.9,remove,NOT FIRE,favor,Can't be
$10000 T,1972,1371,KEEPING,,,,,No verba,,,married,19,no,WORKING,245,50,467,0,3,61,12,,,8,HIGH SCH,,,LT HIGH,female,white,CITY GT,pacific,SAME CIT,average,2,0,0,0,2,1,30,,,,,,,2.88,7.69,1.33,3.84,6.86,43.6,NOT REMO,fired,favor,Can't be
,1972,1372,WORKING,364,39,828,Receptio,Verbatim,38,29,married,25,no,WORKING,695,32,937,1,2,48,12,,8,12,HIGH SCH,,LT HIGH,HIGH SCH,female,white,CITY GT,pacific,SAME CIT,BELOW AV,4,0,0,2,2,2,30,3.07,6.07,7.87,3.14,4.97,36.3,7,6,8,3,3.96,35.1,,fired,favor,CAN TRUS
$12500 T,1972,1373,WORKING,280,34,527,Retail s,Verbatim,31,18,married,35,yes,WORKING,395,36,448,6,3,60,12,12,12,16,HIGH SCH,HIGH SCH,HIGH SCH,graduate,male,white,50000 TO,MIDDLE A,DIFFEREN,average,5,0,0,0,5,3,30,3.53,5.62,7.86,3.4,4.1,37.5,1.06,5.84,7.96,4.89,7.78,57.3,remove,fired,favor,CAN TRUS
$12500 T,1972,1374,KEEPING,394,36,448,Sales re,Verbatim,43,51,married,18,yes,WORKING,552,39,69,7,2,30,13,10,,12,HIGH SCH,LT HIGH,,HIGH SCH,female,white,BIG-CITY,pacific,SAME CIT,BELOW AV,4,2,0,0,2,1,30,4.1,7.49,7.52,3.3,3.43,35.6,3.27,7.84,1.26,3.87,7.61,38.7,remove,fired,favor,CAN TRUS
$8000 TO,1972,1375,WORKING,481,33,477,Janitors,Verbatim,24,15,married,24,no,WORKING,280,34,619,2,3,49,11,,,12,,,,HIGH SCH,male,white,TOWN LT,pacific,SAME CIT,BELOW AV,4,0,0,1,3,2,30,2.34,7.94,1.1,3.85,6.81,39.8,3.1,5.07,7.96,3.21,3.43,25.2,NOT REMO,fired,favor,Can't be
$4000 TO,1972,1376,retired,695,32,189,Producti,Verbatim,35,28,married,31,no,retired,372,46,339,3,2,65,16,12,12,12,graduate,HIGH SCH,HIGH SCH,HIGH SCH,male,white,CITY GT,E. NOR.,DIFFEREN,average,3,0,0,0,3,0,30,5.87,7.79,4.7,2.82,3.73,26.9,4.63,7.84,1.98,3.84,6.79,43.6,NOT REMO,NOT FIRE,favor,Can't be
$10000 T,1972,1377,WORKING,144,63,857,Secondar,Verbatim,64,91,married,24,no,KEEPING,703,32,,4,2,56,18,,8,14,bachelor,,LT HIGH,HIGH SCH,male,white,farm,W. NOR.,DIFFEREN,BELOW AV,3,0,0,0,3,3,30,1.9,2.02,8,4.99,6.96,62.7,,,,,,,NOT REMO,fired,oppose,CAN TRUS
$12500 T,1972,1378,WORKING,441,45,329,First-li,Verbatim,50,62,married,23,no,KEEPING,301,50,777,1,3,40,14,,,12,HIGH SCH,,,HIGH SCH,male,white,TOWN LT,E. NOR.,DIFFEREN,average,5,0,2,1,2,1,30,1.3,3.77,4.5,4.14,7.12,45.2,1.97,5.59,7.18,4.37,6.61,48.3,remove,fired,favor,CAN TRUS
,1972,1379,school,,,,,No verba,,,NEVER MA,,,,,,189,1,0,22,16,16,16,,HIGH SCH,bachelor,bachelor,,male,white,BIG-CITY,E. NOR.,DIFFEREN,ABOVE AV,12,0,0,0,.b,,2,,,,,,,1.21,3.95,7.41,4.94,7.32,60.1,NOT REMO,NOT FIRE,favor,depends
,1972,1380,school,,,,,No verba,,,NEVER MA,,,,,,379,2,0,23,16,16,16,,HIGH SCH,bachelor,bachelor,,female,white,"COUNTRY,",E. NOR.,DIFFEREN,ABOVE AV,11,0,0,0,.b,,2,,,,,,,1.97,5.59,7.18,4.37,6.61,48.3,remove,NOT FIRE,favor,CAN TRUS
,1972,1381,school,,,,,No verba,,,NEVER MA,,,,,,639,3,0,21,15,16,16,,HIGH SCH,bachelor,bachelor,,female,white,BIG-CITY,E. NOR.,SAME CIT,average,9,0,0,0,.b,,2,,,,,,,3.53,5.62,7.86,3.4,4.1,37.5,NOT REMO,NOT FIRE,favor,CAN TRUS
,1972,1382,school,,,,,No verba,,,NEVER MA,,,,,,427,0,0,22,16,14,12,,HIGH SCH,HIGH SCH,HIGH SCH,,male,white,TOWN LT,E. NOR.,SAME CIT,average,8,0,0,0,.b,,2,,,,,,,3.03,6.03,6.23,4,6.01,44.9,NOT REMO,NOT FIRE,favor,CAN TRUS
,1972,1383,school,,,,,No verba,,,NEVER MA,,,,,,219,1,0,24,16,16,12,,,graduate,,,male,white,BIG-CITY,MIDDLE A,DIFFEREN,average,5,0,0,0,5,,2,,,,,,,0.89,7.64,6.82,5.21,7.34,64.1,NOT REMO,NOT FIRE,oppose,Can't be
$10000 T,1972,1384,KEEPING,305,48,999,Bookkeep,Verbatim,45,48,widowed,24,no,,,,609,7,6,51,12,12,12,,HIGH SCH,HIGH SCH,HIGH SCH,,female,white,CITY GT,SOUTH AT,DIFFEREN,average,3,0,0,2,1,,2,3.12,7.91,7.96,3.98,5.01,45.9,1.22,3.94,6.34,4.13,6.95,44.1,remove,fired,favor,CAN TRUS
,1972,1385,school,,,,,No verba,,,NEVER MA,,,,,,,2,0,21,15,12,12,,HIGH SCH,HIGH SCH,HIGH SCH,,male,white,CITY GT,E. NOR.,SAME CIT,ABOVE AV,2,0,0,0,2,,2,,,,,,,3.53,5.62,7.86,3.4,4.1,37.5,NOT REMO,fired,oppose,Can't be
,1972,1386,school,,,,,No verba,,,NEVER MA,,,,,,828,1,0,22,16,20,19,,HIGH SCH,graduate,graduate,,female,white,BIG-CITY,E. NOR.,DIFFEREN,ABOVE AV,2,0,0,0,2,,2,,,,,,,1.03,0.62,6.85,5.92,7.93,88.4,NOT REMO,fired,favor,Can't be
$8000 TO,1972,1387,KEEPING,,,,,No verba,,,married,19,no,school,580,47,757,3,6,44,11,,10,14,HIGH SCH,,LT HIGH,HIGH SCH,female,white,TOWN LT,SOUTH AT,DIFFEREN,average,8,0,0,4,4,3,2,,,,,,,2.35,7.86,1.41,3.79,6.66,36.6,remove,fired,oppose,Can't be
$25000 T,1972,1388,WORKING,72,60,917,First-li,Verbatim,50,62,married,23,no,KEEPING,145,43,857,4,0,32,20,18,16,17,graduate,graduate,bachelor,bachelor,male,black,TOWN LT,W. SOU.,DIFFEREN,ABOVE AV,3,1,0,0,2,1,2,1.11,2.75,5.93,5.13,7.67,68.8,1.9,2.02,8,4.99,6.96,62.7,NOT REMO,fired,favor,CAN TRUS
$6000 TO,1972,1389,WORKING,142,60,857,Elementa,Verbatim,61,85,married,22,no,WORKING,426,47,67,7,2,42,14,,12,14,HIGH SCH,,,HIGH SCH,female,white,TOWN LT,foreign,DIFFEREN,FAR ABOV,4,0,0,2,2,2,2,1.97,2.03,8,4.99,6.14,63.6,1.21,3.95,7.41,4.94,7.32,60.1,NOT REMO,,favor,CAN TRUS
$10000 T,1972,1390,school,312,36,118,Secretar,Verbatim,47,55,married,16,no,WORKING,121,78,747,4,3,34,12,8,8,18,HIGH SCH,LT HIGH,LT HIGH,graduate,female,white,50000 TO,W. SOU.,"SAME ST,",BELOW AV,5,0,2,1,2,2,2,1.45,5.78,7.93,4.36,6.73,52.3,6.46,6.02,7.91,2.53,3.19,26,NOT REMO,fired,oppose,depends
$12500 T,1972,1391,retired,222,61,917,General,Verbatim,50,65,married,29,no,WORKING,385,40,,2,2,48,13,,9,12,HIGH SCH,,LT HIGH,HIGH SCH,male,white,TOWN LT,E. NOR.,DIFFEREN,average,4,0,1,1,2,2,2,1.24,4.28,7.78,4.94,7.26,60.5,,,,,,,remove,fired,oppose,CAN TRUS
$12500 T,1972,1392,KEEPING,305,48,587,Bookkeep,Verbatim,45,48,married,18,no,WORKING,102,78,568,0,5,48,13,12,13,17,HIGH SCH,HIGH SCH,HIGH SCH,graduate,female,white,CITY GT,W. SOU.,"SAME ST,",average,4,0,0,1,3,3,2,3.12,7.91,7.96,3.98,5.01,45.9,3.53,5.62,7.86,3.4,4.1,37.5,NOT REMO,NOT FIRE,favor,CAN TRUS
$6000 TO,1972,1393,retired,62,74,829,Dentists,Verbatim,72,94,married,24,no,KEEPING,372,46,388,5,2,68,18,8,8,12,graduate,LT HIGH,LT HIGH,HIGH SCH,male,white,TOWN LT,pacific,DIFFEREN,average,2,0,0,0,2,1,2,1.03,0.42,7.62,5.93,7.93,76.7,5.39,7.86,2.76,3.1,4.95,34.1,NOT REMO,fired,oppose,Can't be
$10000 T,1972,1394,school,86,69,857,Clergy,Verbatim,66,86,married,21,no,WORKING,142,60,858,4,3,31,20,20,16,16,graduate,graduate,bachelor,bachelor,male,white,50000 TO,W. SOU.,"SAME ST,",average,5,3,0,0,2,2,2,1.05,0.06,7.97,5.97,7.96,59.6,2,2,8,6,8,69.2,NOT REMO,fired,favor,CAN TRUS
$10000 T,1972,1395,WORKING,240,60,857,Educatio,Verbatim,59,80,married,24,no,KEEPING,145,43,,2,1,29,19,,,16,graduate,,,bachelor,male,white,"COUNTRY,",W. SOU.,SAME CIT,BELOW AV,3,1,0,0,2,2,2,1.19,1.43,7.88,5.75,7.93,71.2,,,,,,,NOT REMO,fired,oppose,CAN TRUS
$8000 TO,1972,1396,KEEPING,371,46,838,Secretar,Verbatim,47,55,married,20,no,WORKING,694,32,227,2,1,26,12,14,11,12,HIGH SCH,HIGH SCH,LT HIGH,HIGH SCH,female,white,TOWN LT,pacific,DIFFEREN,average,3,1,0,0,2,1,531,2.98,6.07,8,3.95,5.81,47.1,3.38,8,0.55,3.81,6.76,44.1,remove,fired,favor,Can't be
$12500 T,1972,1397,KEEPING,,,,,No verba,,,married,15,yes,WORKING,961,44,,4,2,25,11,,,14,LT HIGH,,,HIGH SCH,female,white,TOWN LT,MIDDLE A,DIFFEREN,FAR BELO,5,1,1,0,3,2,531,,,,,,,,,,,,,NOT REMO,NOT FIRE,oppose,CAN TRUS
$10000 T,1972,1398,WORKING,690,32,319,"Textile,",Verbatim,33,26,married,18,no,WORKING,690,32,,3,7,35,11,,10,11,LT HIGH,,LT HIGH,LT HIGH,female,white,CITY GT,pacific,SAME CIT,BELOW AV,8,1,3,2,2,2,531,6.6,7.95,5.39,1.94,2.98,22,,,,,,,NOT REMO,,favor,CAN TRUS
$6000 TO,1972,1399,WORKING,305,48,857,Bookkeep,Verbatim,45,48,divorced,19,,,,,318,1,1,33,12,8,12,,HIGH SCH,LT HIGH,HIGH SCH,,female,white,50000 TO,pacific,SAME CIT,average,2,0,1,0,1,1,531,3.12,7.91,7.96,3.98,5.01,45.9,5.87,7.79,4.7,2.82,3.73,26.9,NOT REMO,fired,favor,CAN TRUS
LT $2000,1972,1400,WORKING,942,25,769,Childcar,Verbatim,35,28,widowed,17,yes,,,,,4,1,64,8,,,,LT HIGH,,,,female,white,TOWN LT,pacific,"SAME ST,",average,1,0,0,0,1,1,531,6.75,6.79,7.99,3.06,2.41,23,,,,,,,NOT REMO,fired,favor,Can't be
,1972,1401,UNEMPL,661,34,419,Sailors,Verbatim,43,40,NEVER MA,,,,,,,0,0,25,14,,14,,HIGH SCH,,HIGH SCH,,male,white,CITY GT,pacific,SAME CIT,average,2,0,0,0,2,1,531,7,8,6.1,2.55,4.6,28.8,,,,,,,NOT REMO,NOT FIRE,favor,CAN TRUS
$12500 T,1972,1402,WORKING,903,16,728,Janitors,Verbatim,24,15,married,22,no,WORKING,310,31,17,4,2,59,10,8,8,8,LT HIGH,LT HIGH,LT HIGH,LT HIGH,male,white,"COUNTRY,",W. NOR.,DIFFEREN,BELOW AV,2,0,0,0,2,2,531,5.79,7.85,4.81,2.83,3.62,22.7,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,NOT FIRE,favor,Can't be
$6000 TO,1972,1403,TEMP NOT,761,26,328,Logging,Verbatim,29,19,married,27,yes,WORKING,902,12,17,2,5,50,12,8,12,8,HIGH SCH,LT HIGH,HIGH SCH,LT HIGH,male,white,farm,pacific,"SAME ST,",BELOW AV,2,0,0,0,2,2,531,6.89,7.96,4.64,2.12,4.24,14.5,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,NOT FIRE,oppose,CAN TRUS
$15000 T,1972,1404,WORKING,220,50,708,First-li,Verbatim,46,54,married,22,no,WORKING,245,50,329,5,0,29,13,10,12,12,HIGH SCH,LT HIGH,HIGH SCH,HIGH SCH,male,white,CITY GT,pacific,SAME CIT,average,2,0,0,0,2,2,531,1.06,5.84,7.96,4.89,7.78,57.3,2.34,7.94,1.1,3.85,6.81,39.8,NOT REMO,fired,favor,CAN TRUS
$8000 TO,1972,1405,WORKING,545,35,857,Statio,Verbatim,47,53,married,34,no,KEEPING,,,17,5,2,60,11,12,12,11,LT HIGH,HIGH SCH,HIGH SCH,LT HIGH,male,white,farm,W. NOR.,DIFFEREN,average,3,0,0,1,2,1,531,5.64,7.8,2.39,3.75,6.27,42.4,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,favor,CAN TRUS
$12500 T,1972,1406,retired,,,,,No verba,,,married,26,no,WORKING,662,28,688,7,3,54,12,6,6,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,50000 TO,MIDDLE A,,BELOW AV,4,0,0,0,4,3,1,,,,,,,7,8,3.48,2.52,5,22.2,remove,fired,favor,Can't be
$6000 TO,1972,1407,WORKING,770,20,628,Stock cl,Verbatim,25,12,married,21,no,KEEPING,,,17,1,4,35,13,8,8,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,farm,MIDDLE A,,BELOW AV,5,0,3,0,2,1,1,6.81,7.92,6.9,2.07,2.36,25.3,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,oppose,Can't be
$10000 T,1972,1408,KEEPING,,,,,No verba,,,married,18,no,WORKING,713,33,407,3,4,44,12,8,6,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,female,white,TOWN LT,MIDDLE A,,average,5,0,0,2,3,3,1,,,,,,,3.27,7.84,1.26,3.87,7.61,38.7,NOT REMO,NOT FIRE,oppose,CAN TRUS
$8000 TO,1972,1409,WORKING,441,45,999,First-li,Verbatim,50,62,married,25,no,KEEPING,,,628,7,1,65,11,8,5,10,,LT HIGH,LT HIGH,LT HIGH,male,white,TOWN LT,MIDDLE A,,BELOW AV,4,0,0,0,4,1,1,1.17,3.96,5.58,4.15,7.14,44.6,6.18,7.67,4.42,3.07,5.9,36.2,NOT REMO,NOT FIRE,oppose,depends
$10000 T,1972,1410,WORKING,663,25,259,Sewing m,Verbatim,32,22,married,29,no,WORKING,441,45,17,5,3,55,8,5,8,10,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,white,farm,MIDDLE A,,average,4,0,0,1,3,3,1,6.69,7.98,2.32,2.88,4.03,28.9,1.68,7.97,1.51,3.84,6.62,30.9,,fired,favor,CAN TRUS
$12500 T,1972,1411,WORKING,436,33,68,Operatin,Verbatim,42,45,married,22,yes,WORKING,370,46,,2,2,26,12,,8,12,HIGH SCH,,LT HIGH,HIGH SCH,male,white,"COUNTRY,",MIDDLE A,,average,3,1,0,0,2,2,1,6.89,7.94,3.05,2.96,4.86,31.2,,,,,,,NOT REMO,fired,oppose,CAN TRUS
$2000 TO,1972,1412,KEEPING,912,26,887,Cooks,Verbatim,33,24,married,17,no,retired,441,45,17,1,7,66,5,4,4,9,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,white,farm,MIDDLE A,,BELOW AV,2,0,0,0,2,0,1,3.28,7.68,1.64,3.6,6.4,30.2,1.68,7.97,1.51,3.84,6.62,30.9,,fired,favor,Can't be
$10000 T,1972,1413,UNEMPL,643,19,259,Packers,Verbatim,22,13,married,18,no,WORKING,473,37,67,6,3,56,9,3,3,9,LT HIGH,LT HIGH,LT HIGH,LT HIGH,female,white,TOWN LT,MIDDLE A,,BELOW AV,2,0,0,0,2,2,1,6.89,8,6.48,2.06,2.19,23.4,3.27,7.84,1.26,3.87,7.61,38.7,remove,fired,oppose,Can't be
$12500 T,1972,1414,WORKING,694,32,377,Chemical,Verbatim,31,22,married,23,no,WORKING,245,50,17,7,3,49,12,5,5,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,TOWN LT,W. SOU.,"SAME ST,",BELOW AV,3,0,0,1,2,2,1,5.55,8,2.39,3.12,5.67,38.7,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,favor,CAN TRUS
$12500 T,1972,1415,KEEPING,142,60,857,Elementa,Verbatim,61,85,married,22,no,WORKING,24,54,,7,1,28,16,,12,16,bachelor,,HIGH SCH,bachelor,female,white,"COUNTRY,",W. SOU.,"SAME ST,",average,3,1,0,0,2,1,1,1.97,2.03,8,4.99,6.14,63.6,,,,,,,remove,fired,oppose,CAN TRUS
$6000 TO,1972,1416,KEEPING,372,46,587,Secretar,Verbatim,47,55,married,21,no,WORKING,495,35,528,3,2,26,14,11,11,14,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,female,white,TOWN LT,W. SOU.,SAME CIT,average,4,2,0,0,2,1,1,2.98,6.03,7.98,4,5.98,47.7,1.21,3.95,7.41,4.94,7.32,60.1,NOT REMO,fired,favor,CAN TRUS
$15000 T,1972,1417,WORKING,331,42,907,Postal s,,45,51,married,25,no,WORKING,391,41,937,4,0,46,12,5,8,12,HIGH SCH,LT HIGH,LT HIGH,HIGH SCH,male,white,farm,W. SOU.,SAME CIT,average,2,0,0,0,2,2,1,3.08,7.96,7.93,3.01,2.94,34.5,5.85,7.4,4.78,3.21,6.08,41.2,NOT REMO,fired,oppose,CAN TRUS
$10000 T,1972,1418,retired,395,36,937,Office c,,32,26,widowed,20,no,,,,628,0,6,65,12,,,,HIGH SCH,,,,female,white,TOWN LT,W. SOU.,SAME CIT,average,2,0,0,0,2,1,1,3.64,7.63,7.97,3.46,3.63,41.6,1.21,3.95,7.41,4.94,7.32,60.1,NOT REMO,fired,favor,CAN TRUS
$15000 T,1972,1419,WORKING,471,48,427,Aircraft,Verbatim,56,81,married,34,no,WORKING,301,50,17,1,0,37,12,7,12,12,HIGH SCH,LT HIGH,HIGH SCH,HIGH SCH,male,white,farm,W. SOU.,SAME CIT,average,2,0,0,0,2,2,1,2.22,7.71,1.38,3.94,6.92,43.4,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,oppose,CAN TRUS
$8000 TO,1972,1420,WORKING,205,50,528,Wholesal,,45,49,married,31,no,KEEPING,142,60,17,5,0,56,12,8,8,16,HIGH SCH,LT HIGH,LT HIGH,bachelor,male,white,farm,W. SOU.,SAME CIT,average,2,0,0,0,2,2,1,1.2,5.09,7.93,4.43,6.61,50.7,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,fired,favor,Can't be
$6000 TO,1972,1421,WORKING,641,29,139,Crushing,Verbatim,27,16,widowed,24,yes,,,,18,5,0,64,8,,,,LT HIGH,,,,female,black,farm,E. SOU.,DIFFEREN,FAR BELO,1,0,0,0,1,1,175,7,8,4.07,2.48,3.47,26.8,1.68,7.97,1.51,3.84,6.62,30.9,NOT REMO,NOT FIRE,oppose,Can't be
,1972,1422,WORKING,245,50,668,Uncodeab,,,,divorced,18,,,,,,4,2,47,11,,8,,LT HIGH,,LT HIGH,,female,black,CITY GT,W. NOR.,DIFFEREN,FAR BELO,1,0,0,0,1,1,175,1.53,5.58,7.16,4.08,6.82,46.3,,,,,,,NOT REMO,NOT FIRE,favor,Can't be
$4000 TO,1972,1423,WORKING,301,50,707,Tellers,,39,29,NEVER MA,,,,,,139,4,0,21,14,12,12,,HIGH SCH,HIGH SCH,HIGH SCH,,female,black,TOWN LT,E. NOR.,SAME CIT,average,2,0,0,0,2,1,175,2.98,5.99,8,3.98,5.04,43.7,6.89,8,2.91,2.84,4.56,31.8,NOT REMO,NOT FIRE,favor,Can't be
$12500 T,1972,1424,WORKING,925,36,839,"Nursing,",Verbatim,48,50,married,16,yes,WORKING,680,40,,4,5,43,10,,8,11,LT HIGH,,LT HIGH,LT HIGH,female,black,TOWN LT,W. SOU.,DIFFEREN,FAR BELO,6,0,1,0,5,4,175,6.81,6.91,7.97,3.06,4.02,33.6,,,,,,,NOT REMO,NOT FIRE,favor,Can't be
$15000 T,1972,1425,WORKING,680,40,128,"Welding,",,38,35,married,23,,WORKING,926,42,407,6,5,48,6,5,8,11,LT HIGH,LT HIGH,LT HIGH,LT HIGH,male,black,TOWN LT,E. SOU.,DIFFEREN,BELOW AV,6,0,1,2,3,,175,6.69,7.97,3.71,2.9,5.19,33.4,7,8,4.36,2.47,3.13,20.4,remove,fired,favor,Can't be
$4000 TO,1972,1426,retired,785,17,139,Uncodeab,,,,married,18,yes,WORKING,361,43,18,7, ,68,5,,6,12,LT HIGH,,LT HIGH,HIGH SCH,male,black,TOWN LT,E. SOU.,DIFFEREN,FAR BELO,2,0,0,0,2,1,175,6.92,8,5.88,2.05,2.33,23.9,6.61,7.95,7.02,1.94,2.15,13.8,,fired,favor,Can't be
$10000 T,1972,1427,WORKING,753,17,139,Producti,Verbatim,35,28,married,21,no,KEEPING,,,,1,3,45,8,,8,11,LT HIGH,,LT HIGH,,male,black,"COUNTRY,",E. SOU.,DIFFEREN,FAR BELO,5,1,0,0,4,2,175,6.58,7.86,6.72,2.17,2.94,23,,,,,,,remove,,favor,Can't be
,1972,1428,WORKING,902,12,77,Maids an,,25,14,married,22,no,KEEPING,,,17,6,3,,,,,,,,,,male,black,farm,E. SOU.,DIFFEREN,average,5,0,0,3,2,1,175,6.43,7.54,6.93,2.25,2.56,18.2,1.68,7.97,1.51,3.84,6.62,30.9,,fired,favor,Can't be
,1972,1429,other,,,,,,,,separate,20,,,,,17,7,0,22,10,2,,,LT HIGH,LT HIGH,LT HIGH,,female,white,50000 TO,pacific,"SAME ST,",average,8,0,1,2,5,3,70,,,,,,,,,,,,,,fired,favor,Can't be
$2000 TO,1972,1430,retired,265,47,717,First-li,Verbatim,48,58,widowed,25,no,,,,677,7,1,77,12,,,,HIGH SCH,HIGH SCH,,,female,white,TOWN LT,W. SOU.,DIFFEREN,average,1,0,0,0,1,1,70,1.86,5.65,8,4.21,6.18,49.7,0.99,7.8,1.71,4.93,7.03,61.4,remove,fired,favor,Can't be
$6000 TO,1972,1431,retired,224,58,907,Postmast,,60,85,married,23,no,retired,361,43,17,7,2,69,15,8,,12,HIGH SCH,LT HIGH,,HIGH SCH,male,white,"COUNTRY,",E. SOU.,DIFFEREN,BELOW AV,2,0,0,0,2,2,70,1,5.69,8,4.04,6.94,49,1.68,7.97,1.51,3.84,6.62,30.9,remove,fired,oppose,Can't be
$15000 T,1972,1432,retired,372,46,937,Secretar,,47,55,widowed,26,no,,,,,5,3,65,12,,8,,HIGH SCH,,LT HIGH,,female,white,TOWN LT,pacific,"SAME ST,",average,2,0,0,0,2,1,70,2.98,6.03,7.98,4,5.98,47.7,,,,,,,NOT REMO,NOT FIRE,favor,CAN TRUS
$30000+,1972,1433,KEEPING,,,,,,,,married,19,no,WORKING,801,41,297,4,3,59,11,,,12,,,,HIGH SCH,female,white,TOWN LT,pacific,SAME CIT,BELOW AV,2,0,0,0,2,1,70,,,,,,,6.22,7.78,4.33,2.51,3.88,26.4,remove,fired,favor,Can't be
LT $2000,1972,1434,UNEMPL,751,17,67,Construc,Verbatim,28,23,married,33,no,KEEPING,,,,7,EIGHT OR,65,3,,2,,LT HIGH,,LT HIGH,,male,white,farm,foreign,DIFFEREN,average,7,0,1,2,4,1,70,6.89,7.98,5.3,2.25,3.32,20.5,,,,,,,remove,fired,favor,Can't be
